Company,First name,Last Name,Title,Street,Suburb,State,Postcode,Phone,Fax,Mobile,Email,Website
Forrest Computing,Steve,ZIC,Workshop Manager,Midland Hwy,Epsom,VIC,,03 5448 4934,5448 4938,0418 507 959,Steve-ffc2b@bendigotraders.org,
Happy Landing Marketing & Events,Polly,HELLIWELL,Director,Po Box 68,Bendigo Central,VIC,3552,,,0419 114 573,Polly-fe380@bendigotraders.org,www.wellspringsdayspa.com.au
CVGT ,Steve,BENNETT,Business Development Manager,70 Mundy Street,Bendigo,VIC,3550,03 5441 5177,5443 8549,0418 126 529,Steve-d4523@bendigotraders.org,www.happylanding.com.au
Wet Technologies,Lizzy,BEARDMAN,National Sales Manager,70 Karinie Street,Swan Hill,VIC,3585,03 5033 1566,5033 1213,0400 580 431,Lizzy-3d7bb@bendigotraders.org,www.bendigobank.com.au
Bendigo Trainging Academy,Johnnie,YEWDALE,,52 High Street ,Bendigo ,VIC,3550,03 5444 1876,5441 6727,0409 947 129,Johnnie-66247@bendigotraders.org,
Bendigo Health,Colston,KILROY,Project Officer,Po Box 126,Bendigo ,VIC,3552,03 5454 6412,5454 6420,,Colston-1866b@bendigotraders.org,www.cebendigo.com.au
Southern Cross Office Equipment,Stuart,HAVERCROFT,,103 Mitchell Street,Bendigo,VIC,3550,03 5441 6333,5442 6026,,Stuart-e7d55@bendigotraders.org,www.domainliving.com.au
Integrating Technology,Denis,LOW,Senior Systems Engineer,55 Wills Street,Bendigo ,VIC,3550,03 5442 5322,5442 5317,0419 311 433,Denis-22bec@bendigotraders.org,
Ideal Loans,Hughie,BURKE,MIAA Member,Suite A 40 Strickland Road ,Bendigo ,VIC,3550,,5444 0798,0408 601 640,Hughie-b738d@bendigotraders.org,
,Sasha,McBRIDE,,,,,,,,,Sasha-89813@bendigotraders.org,www.grantready.com.au
National Confectionery Wholesalers,Philip,LANGMID,General Manager,Suite 43/255 Drummond Street,Carlton,VIC,3053,03 9349 9800,9349 9899,0418 575 432,Philip-11dc8@bendigotraders.org,
Happy Landing Marketing & Events,Lucien,MURPHY,Director,Po Box 68,Bendigo Central,VIC,3552,,,0419 114 573,Lucien-d19df@bendigotraders.org,www.clivepeters.com.au
Direct Focus Consulting,Timothy,BEATTIE,Director,GPO Box 5002Y ,Melbourne,VIC,3001,03 9639 4513,9639 7411,0418 136 840,Timothy-195cf@bendigotraders.org,
Hogan's Accountants & Advisors,Trevor,WRAY,,178 St.Georges Road,North Fitzroy,VIC,3068,03 9481 7473,9482 4141,0413 584 700,Trevor-92b60@bendigotraders.org,www.tadvic.asn.au
Universita Bar & Risotrante,Jonathan,ALLAN,,187 Lygon Street ,Carlton,VIC,3053,03 9347 2142,9347 0705,0418 186 104,Jonathan-04678@bendigotraders.org,
Make Your House A Home,Christopher,BLACKWELL,,,,,,03 5442 6093,,,Christopher-f21c7@bendigotraders.org,www.trevorandrew.com.au
PH Property,Ruth,LYALL,Director,82 Mitchell Street,Bendigo ,VIC,3550,03 5454 1999,5454 1998,0412 519 998,Ruth-a3cf9@bendigotraders.org,www.parbury.com.au
Innovative Learning Solutions,Jim,GIBLETT,,Po Box 48 ,Campbells Creek,VIC,3451,03 5472 1550,,0419 520 390,Jim-90d14@bendigotraders.org,www.idawfast.com
CVGT ,Kaye,SUTCLIFFE,Business Development Manager,118 Mundy Street,Bendigo,VIC,3550,03 5441 5177,5443 8549,0418 126 529,Kaye-4a49d@bendigotraders.org,www.floate.com.au
Plunkett Fowles,Merry,BAILEY,Sales Manager,Suite 7/118 Church Street,Hawthorn,VIC,3121,, +61 3 98152711,0448 962 711,Merry-1fdf1@bendigotraders.org,
Simonds Homes,Marjory,BROOKS,New Homes Advisor,Po Box 5022 ,Sandhurst East,VIC,3550,03 5443 3344,5442 9800,0414 488 508,Marjory-8f219@bendigotraders.org,www.swanhillonline.com
National Confectionery Wholesalers,Phillip,BARCLAY,Sales & Marketing Co-Ordinator,Suite 43/255 Drummond Street,Carlton,VIC,3053,03 9349 9800,9349 9899,0418 220 957,Phillip-85d3b@bendigotraders.org,
Doug Lougoon For Real Estate,Jeff,BROWNE,Estate Agent & Auctioneer,178 Wills Street,Bendigo ,VIC,3550,03 5445 5488,5445 5499,0418 510 025,Jeff-a802a@bendigotraders.org,
VEA,Janis,BOWLEY,It Manager,70A Mitchell Street,Bendigo ,VIC,3550,03 5448 2424 ,5441 8992,,Janis-1120a@bendigotraders.org,
Bendigo Bank,Robert,TERRY,Public Relations Officer,,,,,03 5485 7111,5485 7635,0407 882 474,Robert-aa748@bendigotraders.org,
Swan Hill Rural City Council,Jillian,MAPSON,Marketing Officer,Cnr McCreae & Curlewis Streets,Swan Hill,VIC,3585,03 5032 3033,5032 3032,0419 032 154,Jillian-c18ee@bendigotraders.org,www.commbank.com.au
Make Your House A Home,Vicki,BREEN,,,,,,03 5442 6093,,,Vicki-c0d23@bendigotraders.org,
Impress Publicity,Charlie,BURKE,,43 Nixon Street,Shepparton ,VIC,3630,03 5821 2651,5821 6174,0408 579 199,Charlie-c28fb@bendigotraders.org,
Southern Cross Office Equipment,Neil,QUINN,,4 Mitchell Street,Bendigo,VIC,3550,03 5441 6333,5442 6026,,Neil-41c3b@bendigotraders.org,
Jestset,Janet,BISHOP,,163 Little Collins Street ,Melbourne,VIC,3000,03 9654 2377,9654 3858 ,,Janet-0b119@bendigotraders.org,www.itben.com.au
People Potential Unlimited,Helena,BOWDEN,Managing Principal,Po Box 1317,Bendigo ,VIC,3552,,,0407 685 601,Helena-3d47a@bendigotraders.org,www.sanctuaryspa.com.au
Make Your House A Home,Paul,LEIGHTON,,,,,,03 5442 6093,,,Paul-d6367@bendigotraders.org,
Bendigo Senior Secondary College,Jillian,SIMCOCK,Principal,Po Box 545,Bendigo ,VIC,3552,03 5443 1222,5441 4548,0439 012 816,Jillian-f2ef9@bendigotraders.org,
Tin Shed Arts,Margaret,BAKER,Director,109 Mollison Street ,Malmsbury,VIC,3446,03 5423 2144,,,Margaret-48192@bendigotraders.org,www.icnvic.org.au
Telstra Country Wide,Janet,ARUNDEL,Business Solutions Manager,,,,,1800 630 052,8601 3198,,Janet-8a258@bendigotraders.org,
MFR Connections,Kevin,OATES,Doctor,,,,,03 5439 5633,,0407 441 523,Kevin-b3551@bendigotraders.org,
Sutton Grange Winery,Maggie,HARVEY,Cellar Door Manager,Winery: Carnochans Lane ,Sutton Grange,VIC,3448,03 5474 8277,5474 8294,0416 336 452,Maggie-47455@bendigotraders.org,www.cvgt.com.au
Bendigo Bank,Rebecca,SWINBOURN,Public Relations Officer,,,,,03 5485 7111,5485 7635,0407 882 474,Rebecca-28929@bendigotraders.org,www.peteranthony.com.au
Trevor Andrew Real Estate,Elias,BIGGS,Property Manager,145 Wills Street,Bendigo ,VIC,3550,03 5443 7088,5442 4440,0409 794 777,Elias-c5fb3@bendigotraders.org,
Rebecca Productions,Bettina,BECKETT,Exectuitve Producer,Po Box 409,Ashburton,VIC,3147,03 9889 9799,,0418 726 506,Bettina-7e0ad@bendigotraders.org,
Lisa Nankervis Photography & Design,Derek,McDONALD,Photographer & Designer,82 Dungey Avenue,Bendigo ,VIC,3550,03 5443 1258,,0409 977 694,Derek-b5b39@bendigotraders.org,www.homebuildingsystem.com.au
e+ architecture,Sheila,BROOKS,Araia Architect,Po Box 1124,Bendigo ,VIC,3552,03 5443 0055,5441 4981,,Sheila-7d13d@bendigotraders.org,www.aigroup.asn.au
Lift Truck Services,Eva,NEEDLE,,214 Midland Hwy,Epsom,VIC,3551,03 5448 8802,,0412 621 212,Eva-9b27a@bendigotraders.org,
CVGT ,Honoria,ARUNDEL,General Manager,187 Mundy Street,Bendigo,VIC,3550,03 5441 5177,5443 8549,0408 038 783,Honoria-6d36a@bendigotraders.org,www.telstra.com/countrywide
QDT,Murray,BALLACHEY,,130 Spring Gully Road,Bendigo,VIC,3550,03 5443 9605,03 5441 6902,0408 053 990,Murray-0fdc6@bendigotraders.org,
e+ architecture,Isabel,BURGESS,Araia Architect,Po Box 1124,Bendigo ,VIC,3552,03 5443 0055,5441 4981,,Isabel-cc43b@bendigotraders.org,www.shed7.com.au
Hickory Developments,Katie,MERIDITH,Development Manager,118 Cremorne Street,Richmonmd,VIC,3121,03 9429 7411,9428 7376,0412 800 091,Katie-52b2f@bendigotraders.org,
Direct Focus Consulting,Lucy,DEMPSEY,Director,GPO Box 5002Y ,Melbourne,VIC,3001,03 9639 4513,9639 7411,0418 136 840,Lucy-94065@bendigotraders.org,www.swanhillonline.com
DRP Architechts (Well Springs Day Spa),Kate,SHINNER,Senior Interior Designer,No1 York Place ,Prahran,VIC,3181,03 9521 3414,9521 3644,0414 503 344,Kate-83c3f@bendigotraders.org,www.reiv.com.au
Impress Publicity,Annabella,DEAN,,142 Nixon Street,Shepparton ,VIC,3630,03 5821 2651,5821 6174,0427 212 651,Annabella-900ba@bendigotraders.org,www.gtsinteractive.com
Spring Gully Primary School,Gillian,ANSTEY,Principal,Spring Gully Road,Bendigo ,VIC,3550,03 5443 7230,5441 5584,0448 422 171,Gillian-6aa13@bendigotraders.org,www.sgps.vic.edu.au
Bicknells Independent Sport,Martin,MAGUIRE,,91 Williamson Street,Bendigo ,VIC,3550,03 5443 4299,5442 2845,,Martin-d50b2@bendigotraders.org,www.itben.com.au
Blue Illusion Bendigo,Susanna,DENHAM,Marketing Manager,217 Williamson Street ,Bendigo ,VIC,3550,03 5441 5415,,,Susanna-13297@bendigotraders.org,
Commonwealth Bank,Dale,DING,Relationship Executive,82 King Street,Bendigo ,VIC,3550,03 5440 2669,5440 2659,0429 144 628,Dale-8d6b6@bendigotraders.org,
Delfin Realty,Penelope,BAXTER,Sales Consultant,88-8 Lake Street ,Caroline Springs,VIC,3023,03 9361 6228,9360 5021,0410 415 423,Penelope-8e516@bendigotraders.org,www.greatershepparton.com.au
TADVIC,Marc,HAYTON,Chief Exectutive Officer,136 Yarra Boulevard,Kew,VIC,3101,03 9853 8655,9853 8098,,Marc-ca7cf@bendigotraders.org,
The Petal Factory,Polly,AUSTIN,,28 Bridge Street,Bendigo ,VIC,3550,03 5443 5519,5442 3648,,Polly-a2163@bendigotraders.org,www.simonds.com.au
TKO Business Modeller,Heather,MOUNTAIN,TKO Developer / Founder,226 Mitchell Street,Bendigo,VIC,3550,1300 131 822,5441 1201,0419 337 287,Heather-e1df7@bendigotraders.org,www.delfinrealty.com.au
Impress Publicity,Lucy,BRUCE,,139 Nixon Street,Shepparton ,VIC,3630,03 5821 2651,5821 6174,0400 644 637,Lucy-34f53@bendigotraders.org,www.cebendigo.com.au
OPSM,Graham,BRUCE,,Bendigo Market Place,Bendigo ,VIC,3550,03 5443 4662,5441 6209,,Graham-338f9@bendigotraders.org,
Dunkeld Pastoral,Alexander,FREW,Operations Manager,Po Box 50 ,Dunkeld,VIC,3294,03 5577 2644,5577 2622,,Alexander-e9e69@bendigotraders.org,
Good One,Shirley,DaSILVA,Director/Graphic Designer,Po Box 93,Bendigo ,VIC,3550,03 5443 3434,5443 3474,0417 166 297,Shirley-0bb2f@bendigotraders.org,
Telstra Shop,Belinda,BAILEY,Business Sales Consultant,Level 13/35 Collins Street ,Melbourne,VIC,3000,03 9638 4419,8601 3192,0427 906 936,Belinda-7373c@bendigotraders.org,www.digitalw.com.au
Direct Focus Consulting,Tracey,ANDREWS,Director,GPO Box 5002Y ,Melbourne,VIC,3001,03 9639 4513,9639 7411,0418 136 840,Tracey-64688@bendigotraders.org,www.cebendigo.com.au
Bendigo IT,Tony,BLACK,General Manager,Po Box 130,Bendigo ,VIC,3552,03 5444 9500,5443 2847,,Tony-19f45@bendigotraders.org,
Bendigo Community Telco,Sam,BISHOP,Sales & Marketing Manager,Po Box 1062,Bendigo,VIC,3550,03 5454 5039,5454 1539,0428 366 789,Sam-896d3@bendigotraders.org,www.goodone.com.au
Kids Town,Christopher,AH SING,Playground Coordinator,Locked Bag 1000,Shepparton ,VIC,3632,03 5831 4213,5821 2172,0407 042 438,Christopher-373ca@bendigotraders.org,
GTS Interactive,Timothy,MACK,,Po Box 6298,St.Kilda Road Central,VIC,8008,,,0419 232 565,Timothy-f9a4b@bendigotraders.org,www.swanhillonline.com
Shire Of Campaspe,Allan,PARKER,Exectutive Officer,Po Box 35 ,Echuca,VIC,3564,03 5481 2203 ,5481 2293,,Allan-57427@bendigotraders.org,
PH Property,Sheila,PETTY,Director,97 Mitchell Street,Bendigo ,VIC,3550,03 5454 1999,5454 1998,0417 537 251,Sheila-c1191@bendigotraders.org,www.tick-it.com.au
Impress Publicity,Yvette,BARRETT,,70 Nixon Street,Shepparton ,VIC,3630,03 5821 2651,5821 6174,0400 644 637,Yvette-43fa9@bendigotraders.org,
Bendigo Cinema,Karen,SOUNNESS,Cinema Advertising,127 Queen Street,Bendigo ,VIC,3550,03 5442 5346 or 5442 1666,5442 9079,,Karen-dbd4c@bendigotraders.org,www.pallitivecareloddonmallee.org
Floate Design Partners,Hayley,HILLIER,,Level 1 351-353 Elizabeth Street,Melbourne,VIC,3000,03 9606 0866,9670 8216,0418 592 158,Hayley-20333@bendigotraders.org,www.sanctuaryspa.com.au
Bloom n Gifts,Warren,HUXTABLE,Owners,16 High Street,Golden Square,VIC,3555,03 5442 2112,5442 2326,,Warren-55edc@bendigotraders.org,
MEGT,Susan,MADDERN,Industry Employment Consultant,220st Floor 386 Hargreaves Street ,Bendigo ,VIC,3550,03 5442 8862,5443 8379,0427 236 895,Susan-16215@bendigotraders.org,www.eplusarchitecture.com.au
Fresh 2 U ,Alan,GADENNE,,Market Box 12 542 Footscray Rd,West Melbourne,VIC,3003,03 9687 9322,9689 6116,0416 275 634,Alan-95297@bendigotraders.org,www.peteranthony.com.au
National Confectionery Wholesalers,Rodney,STOCKDALE,General Manager,Suite 43/255 Drummond Street,Carlton,VIC,3053,03 9349 9800,9349 9899,0418 575 432,Rodney-b8f75@bendigotraders.org,
Plunkett Fowles,Sue,FRASER,Sales Manager,Suite 7/118 Church Street,Hawthorn,VIC,3121,, +61 3 98152711,0448 962 711,Sue-388f9@bendigotraders.org,
Good One,Doug,BROAD,Director/Graphic Designer,Po Box 93,Bendigo ,VIC,3550,03 5443 3434,5443 3474,0417 166 297,Doug-5adba@bendigotraders.org,
